building_id,building_type,nb_houses,infrastructure_id,infrastructure_type,cost,time,priority_score,efficiency
347,habitation,1,0,aérien,50.0,0.0,10,0.02
348,habitation,1,0,aérien,50.0,0.0,10,0.02
349,habitation,1,0,aérien,50.0,0.0,10,0.02
350,habitation,1,0,aérien,50.0,0.0,10,0.02
351,habitation,1,0,aérien,50.0,0.0,10,0.02
352,habitation,1,0,aérien,50.0,0.0,10,0.02
353,habitation,1,0,aérien,50.0,0.0,10,0.02
354,habitation,1,0,aérien,50.0,0.0,10,0.02
355,habitation,1,0,aérien,50.0,0.0,10,0.02
356,habitation,1,0,aérien,50.0,0.0,10,0.02
357,habitation,1,0,aérien,50.0,0.0,10,0.02
358,habitation,1,0,aérien,50.0,0.0,10,0.02
359,habitation,1,0,aérien,50.0,0.0,10,0.02
360,habitation,1,0,aérien,50.0,0.0,10,0.02
361,habitation,1,0,aérien,50.0,0.0,10,0.02
362,habitation,1,0,aérien,50.0,0.0,10,0.02
363,habitation,1,0,aérien,50.0,0.0,10,0.02
364,habitation,1,0,aérien,50.0,0.0,10,0.02
365,habitation,1,0,aérien,50.0,0.0,10,0.02
366,habitation,1,0,aérien,50.0,0.0,10,0.02
367,habitation,1,0,aérien,50.0,0.0,10,0.02
368,habitation,1,0,aérien,50.0,0.0,10,0.02
369,habitation,1,0,aérien,50.0,0.0,10,0.02
370,habitation,1,0,aérien,50.0,0.0,10,0.02
371,habitation,1,0,aérien,50.0,0.0,10,0.02
372,habitation,1,0,aérien,50.0,0.0,10,0.02
373,habitation,1,0,aérien,50.0,0.0,10,0.02
374,habitation,1,0,aérien,50.0,0.0,10,0.02
375,habitation,1,0,aérien,50.0,0.0,10,0.02
376,habitation,1,0,aérien,50.0,0.0,10,0.02
380,habitation,1,0,aérien,50.0,0.0,10,0.02
